Case_ID,First_Party,Second_Party,Image_ID
7fc3f4b9-f9d1-4da4-bdc2-7801853c0a91,كنت أقود سيارتي البيضاء على الطريق السريع وفجأة توقفت السيارة الأمامية بشكل مفاجئ. لم أتمكن من التوقف في الوقت المناسب واصطدمت بها من الخلف.,كنت أقود سيارتي الفضية على الطريق السريع وعندما حاولت تغيير المسار، توقفت فجأة بسبب تدفق المرور من الجهة الأخرى، مما أدى إلى اصطدام السيارة الخلفية بي.,data\imgs\1.jpeg
7fc3f4b9-f9d1-4da4-bdc2-7801853c0a91,السيارة الأمامية توقفت فجأة بدون أي سبب مبرر، لم أتمكن من التوقف في الوقت المناسب واصطدمت بها. بدا وكأن السائق كان يستخدم هاتفه النقال.,السيارة الخلفية كانت تسرع بشكل غير طبيعي ولم تحافظ على المسافة الأمان المطلوبة. عندما توقفت فجأة لتفادي سيارة أخرى، لم يتمكن السائق الخلفي من التوقف واصطدم بي.,data\imgs\1.jpeg
7fc3f4b9-f9d1-4da4-bdc2-7801853c0a91,كنت أسير بسرعة طبيعية والسيارة الأمامية توقفت فجأة بدون سابق إنذار، ولا أستطيع تفادي الاصطدام.,كنت أسير بسرعة طبيعية وتوقفت فجأة لتفادي حركة المرور. السيارة الخلفية لم تحافظ على المسافة الأمان واصطدمت بي.,data\imgs\1.jpeg
7fc3f4b9-f9d1-4da4-bdc2-7801853c0a91,كنت أسير بسرعة طبيعية وحافظت على المسافة الأمان اللازمة بيني وبين السيارة الأمامية، ولكنها توقفت فجأة بشكل غير مبرر، مما أدى إلى اصطدامي بها.,السيارة الخلفية كانت تسرع بشكل غير طبيعي ولم تحافظ على المسافة الأمان المطلوبة. توقفت فجأة لتفادي سيارة أخرى، لكن السائق الخلفي لم يتمكن من التوقف واصطدم بي.,data\imgs\1.jpeg
113bd662-3b93-41e1-a4e6-95fad5ca4955,كنت أقود سيارتي السوداء وكنت على حق الطريق. فجأة، انحرفت السيارة الفضية عن طريقها وصدمتني. لم أتمكن من تجنبها لأن الفجوة كانت ضيقة للغاية.,كنت أقود سيارتي الفضية وكنت على حق الطريق. ولكن بسبب الظروف الجوية، فقدت السيطرة على السيارة وانزلقت نحو السيارة السوداء. لم أتمكن من استعادة السيطرة في الوقت المناسب.,data\imgs\10.jpeg
113bd662-3b93-41e1-a4e6-95fad5ca4955,كنت أقود سيارتي السوداء على السرعة المحددة وفي المسار الصحيح. فجأة، اصطدمت بي السيارة الفضية من اليمين، رغم أنني كنت على حق الطريق.,كنت أقود سيارتي الفضية بحذر وداخل السرعة المحددة. بينما كنت أتقدم في الطريق، انحرفت السيارة السوداء فجأة إلى مساري واصطدمت بها.,data\imgs\10.jpeg
113bd662-3b93-41e1-a4e6-95fad5ca4955,كنت أقود سيارتي السوداء بأمان وداخل السرعة المحددة. فجأة، اصطدمت بي السيارة الفضية من اليمين وأنا كنت على حق الطريق. المسؤولية تقع بالكامل على السائق الآخر.,كانت السيارة السوداء تسير بسرعة كبيرة وغير متوقعة انحرفت فجأة نحو مساري. حاولت التوقف ولكن بسبب الظروف الجوية، لم أتمكن من تجنب الاصطدام.,data\imgs\10.jpeg
113bd662-3b93-41e1-a4e6-95fad5ca4955,كنت أقود سيارتي السوداء على السرعة المحددة وفي المسار الصحيح. فجأة، اصطدمت بي السيارة الفضية من اليمين، رغم أنني كنت على حق الطريق.,كنت أقود سيارتي الفضية بحذر وداخل السرعة المحددة. بينما كنت أتقدم في الطريق، انحرفت السيارة السوداء فجأة إلى مساري واصطدمت بها.,data\imgs\10.jpeg
76945d13-fb53-4953-9622-223e512a853a,كنت أسير بسرعتي القانونية وفجأة لاحظت أن السيارة أمامي توقفت فجأة. حاولت الفرملة ولكن لم أتمكن من إيقاف سيارتي في الوقت المناسب واصطدمت بها.,كنت أقود بهدوء في المسار الأيمن عندما اضطررت لتخفيف السرعة بسبب ازدحام المرور أمامي، وفجأة شعرت بضربة قوية من الخلف عندما اصطدمت بي السيارة خلفي.,data\imgs\1.jpeg
76945d13-fb53-4953-9622-223e512a853a,كنت أقود ببطء في المسار الأيسر عندما ظهرت فجأة السيارة أمامي وتوقفت بدون سابق إنذار، ولم يكن أمامي وقت كافٍ للتوقف فحدث الاصطدام.,بينما كنت أتباطأ عند إشارة المرور، جاءت السيارة الخلفية بسرعة عالية ولم تتمكن من التوقف في الوقت المناسب، فاصطدمت بي بقوة.,data\imgs\1.jpeg
